Datei_ID,X,Y,F,Sensor R1,Sensor R2,Sensor R3,Sensor R4,Sensor R5,Sensor R6,Sensor R7,Sensor R8
686,116.0,58.0,18.0,3.153425,2.341125,2.946775,2.4523,3.1047,1.8561,3.054625,2.996375
687,116.0,0.0,18.0,3.125225,2.207625,2.949725,2.50245,3.2856,1.54215,3.035175,2.987525
688,116.0,-58.0,18.0,3.105725,2.44135,2.968275,2.519575,3.245775,2.082225,2.90215,2.9642500000000003
689,116.0,-116.0,18.0,3.09865,2.736725,2.98135,2.548875,3.2319,2.52895,2.7809,2.96775
690,116.0,-174.0,18.0,3.09105,3.003225,2.984475,2.572125,3.2467,2.9177500000000003,2.614075,2.97575
691,116.0,-232.0,18.0,3.103025,3.23245,2.995725,2.6303,3.284525,3.205725,2.469225,2.99275
692,116.0,-290.0,18.0,3.158375,3.442425,3.01535,2.79365,3.3697250000000003,3.43075,2.616325,3.044975
693,174.0,290.0,18.0,3.227525,3.3407750000000003,3.0707,2.9023000000000003,2.1455,3.3737,3.133375,3.092175
694,174.0,232.0,18.0,3.21415,3.13205,3.0116,2.803525,2.03165,3.085225,3.0819,3.075925
695,174.0,174.0,18.0,3.197025,2.881725,2.9697500000000003,2.70705,2.412125,2.755425,3.059725,3.0603
696,174.0,116.0,18.0,3.177225,2.6287,2.946775,2.685375,2.696675,2.3216,3.060825,3.058525
697,174.0,58.0,18.0,3.149375,2.3226250000000004,2.93215,2.69055,3.085625,1.67955,3.086525,3.058375
698,174.0,0.0,18.0,3.1155250000000003,2.217125,2.9398,2.747425,3.3507,1.1982499999999998,3.054925,3.0547000000000004
699,174.0,-58.0,18.0,3.09705,2.447075,2.96915,2.73685,3.291875,1.97725,2.85615,3.029625
700,174.0,-116.0,18.0,3.08915,2.7523250000000004,2.986075,2.765925,3.282125,2.5628,2.64075,3.04105
701,174.0,-174.0,18.0,3.0823,2.9554500000000004,2.993925,2.75415,3.282875,2.92645,2.3831,3.03685
702,174.0,-232.0,18.0,3.09335,3.179175,3.005575,2.796625,3.3308,3.2026000000000003,2.158075,3.0474750000000004
703,174.0,-290.0,18.0,3.1296000000000004,3.396825,3.0316,2.935625,3.42725,3.44725,2.357075,3.10235
704,232.0,290.0,18.0,3.24165,3.314175,3.065075,3.0307,1.6509999999999998,3.415875,3.129875,3.1159
705,232.0,232.0,18.0,3.2231,3.1292,3.01505,2.963425,1.77925,3.115075,3.0733,3.101
706,232.0,174.0,18.0,3.2063,2.93115,2.984375,2.9383,2.195325,2.8365750000000003,3.05945,3.099625
707,232.0,116.0,18.0,3.189025,2.73085,2.966925,2.9255,2.655375,2.5227,3.0775750000000004,3.1098
708,232.0,58.0,18.0,3.1578250000000003,2.458325,2.945275,2.9369,3.1321,1.82585,3.1401,3.122475
709,232.0,0.0,18.0,3.113125,2.3037750000000004,2.9388,2.9577750000000003,3.4809,0.911125,3.0965000000000003,3.110625
710,232.0,-58.0,18.0,3.10065,2.54415,2.9675,2.9377500000000003,3.355825,2.1117,2.788125,3.0873
711,232.0,-116.0,18.0,3.1074,2.79715,2.994375,2.934425,3.294925,2.692725,2.479425,3.0959000000000003
712,232.0,-174.0,18.0,3.109175,3.029175,3.009825,2.9436,3.30435,3.03925,2.1486,3.097075
713,232.0,-232.0,18.0,3.117725,3.212825,3.026125,2.963775,3.35305,3.28325,1.7796,3.100125
714,232.0,-290.0,18.0,3.1222,3.3711,3.044125,3.016725,3.4376,3.47745,1.8812,3.132525
715,290.0,290.0,18.0,3.25895,3.365875,3.095775,3.252075,0.8807,3.5423,3.112825,3.1450250000000004
716,290.0,232.0,18.0,3.238675,3.213,3.064825,3.209725,1.4554,3.29385,3.0587,3.1427
717,290.0,174.0,18.0,3.223125,3.072275,3.032825,3.1631,2.196225,3.0559,3.071525,3.1501
718,290.0,116.0,18.0,3.207,2.921575,3.01355,3.146975,2.690875,2.838675,3.0983500000000004,3.16205
719,290.0,58.0,18.0,3.164325,2.6197,2.9592750000000003,3.0983,3.165875,2.19115,3.165575,3.161325
720,290.0,0.0,18.0,3.121,2.449925,2.943825,3.0970500000000003,3.5947,0.56185,3.199425,3.15435
721,290.0,-58.0,18.0,3.14525,2.7733250000000003,2.992425,3.1046,3.436325,2.54675,2.799775,3.145125
722,290.0,-116.0,18.0,3.1602,2.994575,3.0166250000000003,3.0833,3.379275,2.99485,2.42245,3.145775
723,290.0,-174.0,18.0,3.169775,3.1603,3.0332,3.087025,3.3736,3.267225,1.983025,3.161475
724,290.0,-232.0,18.0,3.17055,3.27785,3.0475,3.07765,3.39325,3.4329,1.37635,3.1648500000000004
725,290.0,-290.0,18.0,3.169675,3.3918,3.0637000000000003,3.102275,3.446425,3.557125,1.058225,3.204925
726,-290.0,290.0,20.0,3.247125,3.619,0.680625,3.1875,3.228625,3.339875,3.165875,3.137875
727,-290.0,232.0,20.0,3.1673750000000003,3.44,1.070625,3.105625,3.244875,3.2165,3.138875,3.12925
728,-290.0,174.0,20.0,3.134,3.195125,1.462125,3.082125,3.2535000000000003,3.082625,3.111625,3.133125
729,-290.0,116.0,20.0,3.1473750000000003,2.822125,1.855875,3.0496250000000003,3.25525,2.936,3.086,3.138375
730,-290.0,58.0,20.0,3.210375,2.102125,2.36075,3.00125,3.241,2.72975,3.05775,3.14175
731,-290.0,0.0,20.0,3.244375,0.008125,3.014125,3.036875,3.2515,2.517875,3.008375,3.142875
732,-290.0,-58.0,20.0,2.74575,1.950375,2.74375,3.0543750000000003,3.326625,2.736125,3.00875,3.147875
733,-290.0,-116.0,20.0,2.325375,2.652875,2.599625,3.0365,3.3715,2.94975,3.02925,3.1635
734,-290.0,-174.0,20.0,1.72375,3.044375,2.561375,3.00875,3.3985,3.07525,3.03225,3.177875
735,-290.0,-232.0,20.0,0.965375,3.3592500000000003,2.588625,3.0005,3.421875,3.1915,3.03925,3.198875
736,-290.0,-290.0,20.0,0.008875,3.58325,2.710375,3.007,3.4495,3.30625,3.0460000000000003,3.214375
737,-232.0,290.0,20.0,3.35025,3.442125,1.891625,2.97275,3.1593750000000003,3.324875,3.15375,3.099625
738,-232.0,232.0,20.0,3.257375,3.17875,1.66525,2.84825,3.1321250000000003,3.147875,3.122625,3.0915
739,-232.0,174.0,20.0,3.192875,2.775625,1.858875,2.789625,3.13025,2.94075,3.0925,3.076
740,-232.0,116.0,20.0,3.215875,2.34725,2.143625,2.7795,3.17475,2.77375,3.0705,3.0895
741,-232.0,58.0,20.0,3.25075,1.525,2.456,2.793875,3.17825,2.511,3.029375,3.095
742,-232.0,0.0,20.0,3.255625,0.43425,2.8765,2.844625,3.238875,2.3865,2.995,3.094625
743,-232.0,-58.0,20.0,2.7575,1.600875,2.699625,2.847,3.30025,2.565125,2.9705,3.0845
744,-232.0,-116.0,20.0,2.3155,2.278125,2.6045000000000003,2.8415,3.346125,2.795,2.980125,3.0955
745,-232.0,-174.0,20.0,1.898125,2.70875,2.5815,2.839125,3.374625,2.970625,2.9785,3.112
746,-232.0,-232.0,20.0,1.442375,3.09875,2.6275,2.83875,3.405125,3.129125,2.975625,3.11425
747,-232.0,-290.0,20.0,1.23675,3.458875,2.755625,2.9017500000000003,3.442,3.295,2.99975,3.143125
748,-174.0,290.0,20.0,3.277375,3.3735,2.396625,2.772875,3.154125,3.34675,3.145125,3.071
749,-174.0,232.0,20.0,3.218375,3.0675,2.087125,2.617625,3.103375,3.147625,3.113875,3.049125
750,-174.0,174.0,20.0,3.184625,2.68725,2.248375,2.553,3.115875,2.944875,3.089875,3.0515
751,-174.0,116.0,20.0,3.1745,2.144375,2.41475,2.490375,3.140375,2.683125,3.061125,3.031375
752,-174.0,58.0,20.0,3.200375,1.338875,2.648875,2.5111250000000003,3.178375,2.389,3.021125,3.03725
753,-174.0,0.0,20.0,3.165625,0.73475,2.857375,2.55075,3.236875,2.2575,2.98225,3.021125
754,-174.0,-58.0,20.0,2.889875,1.561375,2.769,2.609875,3.3055,2.479625,2.9602500000000003,3.018125
755,-174.0,-116.0,20.0,2.571,2.192875,2.696125,2.599625,3.3436250000000003,2.742625,2.950125,3.022
756,-174.0,-174.0,20.0,2.2715,2.663125,2.695,2.615625,3.375125,2.954875,2.9435,3.0355
757,-174.0,-232.0,20.0,1.94875,3.049125,2.723375,2.688625,3.404375,3.152625,2.9595,3.07425
758,-174.0,-290.0,20.0,1.992375,3.397125,2.830375,2.800375,3.43675,3.325125,2.998125,3.109375
759,-116.0,290.0,20.0,3.232125,3.302625,2.614375,2.521625,3.175125,3.34975,3.1241250000000003,3.018625
