channel names:							
011_290_290_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	011_290_290_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	011_290_290_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	011_290_290_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	011_290_290_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	011_290_290_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	011_290_290_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	011_290_290_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310
dt:							
0,020000							
data:							
2,903914E-1	1,153651E-2	-7,323682E-1	2,308909E-1	-3,888858E-1	-5,163873E-1	-8,110049E-2	-9,955484E-2
2,904629E-1	1,151267E-2	-7,323206E-1	2,310935E-1	-3,892315E-1	-5,164350E-1	-8,113625E-2	-9,957868E-2
2,903557E-1	1,160804E-2	-7,322371E-1	2,310339E-1	-3,890288E-1	-5,163873E-1	-8,132699E-2	-9,966213E-2
2,903199E-1	1,154844E-2	-7,323802E-1	2,309505E-1	-3,890884E-1	-5,165303E-1	-8,135083E-2	-9,963828E-2
2,902364E-1	1,144115E-2	-7,324517E-1	2,305333E-1	-3,891123E-1	-5,166853E-1	-8,118393E-2	-9,976941E-2
2,901649E-1	1,139346E-2	-7,325113E-1	2,306167E-1	-3,890288E-1	-5,166734E-1	-8,129122E-2	-9,970981E-2
2,903914E-1	1,154844E-2	-7,323444E-1	2,311293E-1	-3,891123E-1	-5,164469E-1	-8,131506E-2	-9,955484E-2
2,905941E-1	1,165572E-2	-7,322848E-1	2,313916E-1	-3,890884E-1	-5,162085E-1	-8,110049E-2	-9,943563E-2
2,905226E-1	1,164380E-2	-7,322729E-1	2,316538E-1	-3,891004E-1	-5,161608E-1	-8,133891E-2	-9,935218E-2
2,904033E-1	1,157228E-2	-7,323444E-1	2,312962E-1	-3,889573E-1	-5,162800E-1	-8,121970E-2	-9,943563E-2
2,902722E-1	1,151267E-2	-7,322729E-1	2,308074E-1	-3,890169E-1	-5,164707E-1	-8,137467E-2	-9,969789E-2
