channel names:							
010_232_290_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	010_232_290_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	010_232_290_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	010_232_290_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	010_232_290_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	010_232_290_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	010_232_290_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	010_232_290_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 13:50:15,001016	23.05.2024 13:50:15,001016	23.05.2024 13:50:15,001016	23.05.2024 13:50:15,001016	23.05.2024 13:50:15,001016	23.05.2024 13:50:15,001016	23.05.2024 13:50:15,001016	23.05.2024 13:50:15,001016
dt:							
0,020000							
data:							
2,905464E-1	1,153651E-2	-7,394612E-1	2,323452E-1	-3,811253E-1	-5,169237E-1	-8,354428E-2	-9,351093E-2
2,904987E-1	1,158420E-2	-7,395446E-1	2,323929E-1	-3,810657E-1	-5,168641E-1	-8,318665E-2	-9,346324E-2
2,905941E-1	1,165572E-2	-7,395566E-1	2,324883E-1	-3,811491E-1	-5,167330E-1	-8,309128E-2	-9,335595E-2
2,905464E-1	1,175109E-2	-7,395923E-1	2,322976E-1	-3,811968E-1	-5,168760E-1	-8,325818E-2	-9,348708E-2
2,905583E-1	1,161996E-2	-7,396519E-1	2,321068E-1	-3,810657E-1	-5,169237E-1	-8,342507E-2	-9,357053E-2
2,905106E-1	1,152459E-2	-7,396400E-1	2,320591E-1	-3,808630E-1	-5,169714E-1	-8,341315E-2	-9,364206E-2
2,905702E-1	1,154844E-2	-7,396281E-1	2,322141E-1	-3,810895E-1	-5,169476E-1	-8,346083E-2	-9,352285E-2
2,906656E-1	1,142923E-2	-7,395089E-1	2,322737E-1	-3,810299E-1	-5,168999E-1	-8,330586E-2	-9,345132E-2
2,905345E-1	1,152459E-2	-7,396281E-1	2,322856E-1	-3,809226E-1	-5,168641E-1	-8,329394E-2	-9,352285E-2
2,904033E-1	1,152459E-2	-7,396519E-1	2,321187E-1	-3,810657E-1	-5,170429E-1	-8,337739E-2	-9,367782E-2
2,904391E-1	1,150075E-2	-7,395446E-1	2,319757E-1	-3,810299E-1	-5,170906E-1	-8,342507E-2	-9,366590E-2
2,903437E-1	1,147691E-2	-7,396639E-1	2,318922E-1	-3,810657E-1	-5,171025E-1	-8,352044E-2	-9,365398E-2
2,904272E-1	1,159612E-2	-7,395685E-1	2,319518E-1	-3,810061E-1	-5,169714E-1	-8,349659E-2	-9,354669E-2
2,904629E-1	1,172725E-2	-7,396162E-1	2,321783E-1	-3,808630E-1	-5,169833E-1	-8,341315E-2	-9,341556E-2
2,904272E-1	1,164380E-2	-7,395804E-1	2,321426E-1	-3,809345E-1	-5,169237E-1	-8,347275E-2	-9,360629E-2
2,904510E-1	1,144115E-2	-7,396639E-1	2,320114E-1	-3,807915E-1	-5,170429E-1	-8,346083E-2	-9,359437E-2
2,904153E-1	1,140538E-2	-7,395446E-1	2,320830E-1	-3,806246E-1	-5,170429E-1	-8,349659E-2	-9,342748E-2
2,904391E-1	1,152459E-2	-7,395804E-1	2,322737E-1	-3,810180E-1	-5,168641E-1	-8,334162E-2	-9,339172E-2
2,904391E-1	1,157228E-2	-7,394970E-1	2,323572E-1	-3,811372E-1	-5,167926E-1	-8,329394E-2	-9,348708E-2
2,905226E-1	1,154844E-2	-7,394135E-1	2,322618E-1	-3,810061E-1	-5,167807E-1	-8,301976E-2	-9,353477E-2
2,904510E-1	1,148883E-2	-7,395327E-1	2,319757E-1	-3,809464E-1	-5,170072E-1	-8,310320E-2	-9,343940E-2
2,903318E-1	1,138154E-2	-7,396042E-1	2,320711E-1	-3,809226E-1	-5,170549E-1	-8,328202E-2	-9,348708E-2
2,903795E-1	1,142923E-2	-7,395446E-1	2,324048E-1	-3,811133E-1	-5,169476E-1	-8,350852E-2	-9,349900E-2
2,905106E-1	1,151267E-2	-7,394135E-1	2,325956E-1	-3,810895E-1	-5,168164E-1	-8,347275E-2	-9,339172E-2
2,905106E-1	1,156036E-2	-7,394016E-1	2,326433E-1	-3,809584E-1	-5,166376E-1	-8,332970E-2	-9,329635E-2
2,906060E-1	1,164380E-2	-7,394374E-1	2,325837E-1	-3,808272E-1	-5,167211E-1	-8,319857E-2	-9,329635E-2
2,906298E-1	1,161996E-2	-7,394016E-1	2,323810E-1	-3,808392E-1	-5,167688E-1	-8,317473E-2	-9,342748E-2
2,905941E-1	1,164380E-2	-7,393420E-1	2,323095E-1	-3,806127E-1	-5,167688E-1	-8,332970E-2	-9,345132E-2
2,905464E-1	1,166764E-2	-7,393062E-1	2,323095E-1	-3,807676E-1	-5,167449E-1	-8,329394E-2	-9,339172E-2
2,905941E-1	1,166764E-2	-7,392943E-1	2,321903E-1	-3,811253E-1	-5,168284E-1	-8,327010E-2	-9,336787E-2
2,905702E-1	1,158420E-2	-7,393777E-1	2,319161E-1	-3,808749E-1	-5,168880E-1	-8,304360E-2	-9,334403E-2
2,905464E-1	1,146499E-2	-7,393658E-1	2,319757E-1	-3,809464E-1	-5,169595E-1	-8,312705E-2	-9,339172E-2
2,904868E-1	1,146499E-2	-7,393658E-1	2,320830E-1	-3,812206E-1	-5,168999E-1	-8,330586E-2	-9,346324E-2
2,907133E-1	1,159612E-2	-7,393301E-1	2,323572E-1	-3,808630E-1	-5,167688E-1	-8,323433E-2	-9,336787E-2
2,907967E-1	1,173917E-2	-7,394016E-1	2,328102E-1	-3,807915E-1	-5,165780E-1	-8,281710E-2	-9,317714E-2
2,907729E-1	1,171533E-2	-7,392466E-1	2,329770E-1	-3,807915E-1	-5,165184E-1	-8,294823E-2	-9,316522E-2
2,907252E-1	1,166764E-2	-7,392228E-1	2,328221E-1	-3,805888E-1	-5,166019E-1	-8,297207E-2	-9,327251E-2
2,904868E-1	1,135770E-2	-7,394731E-1	2,324764E-1	-3,806842E-1	-5,169118E-1	-8,330586E-2	-9,337980E-2
2,903676E-1	1,121465E-2	-7,396758E-1	2,321545E-1	-3,807319E-1	-5,169595E-1	-8,309128E-2	-9,358245E-2
2,903676E-1	1,129810E-2	-7,394612E-1	2,321783E-1	-3,810776E-1	-5,169595E-1	-8,306744E-2	-9,349900E-2
