channel names:							
022_290_232_50 1 - Brücke (V/V) - R0__PXI1Slot2_ai0	022_290_232_50 1 - Brücke (V/V) - R1__PXI1Slot2_ai1	022_290_232_50 1 - Brücke (V/V) - R2__PXI1Slot2_ai2	022_290_232_50 1 - Brücke (V/V) - R3__PXI1Slot2_ai3	022_290_232_50 1 - Brücke (V/V) - R4__PXI1Slot2_ai4	022_290_232_50 1 - Brücke (V/V) - R5__PXI1Slot2_ai5	022_290_232_50 1 - Brücke (V/V) - R6__PXI1Slot2_ai6	022_290_232_50 1 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 15:08:58,501185	23.05.2024 15:08:58,501185	23.05.2024 15:08:58,501185	23.05.2024 15:08:58,501185	23.05.2024 15:08:58,501185	23.05.2024 15:08:58,501185	23.05.2024 15:08:58,501185	23.05.2024 15:08:58,501185
dt:							
0,020000							
data:							
2,970314E-1	1,886789E-2	-7,275522E-1	2,339665E-1	-5,594862E-1	-4,324282E-1	-5,134585E-2	-1,033815E-1
2,969360E-1	1,889173E-2	-7,275283E-1	2,341811E-1	-5,595696E-1	-4,324043E-1	-5,139353E-2	-1,034530E-1
2,969360E-1	1,891557E-2	-7,275283E-1	2,341453E-1	-5,595935E-1	-4,323686E-1	-5,133393E-2	-1,034053E-1
2,969122E-1	1,903478E-2	-7,275760E-1	2,339426E-1	-5,594743E-1	-4,324401E-1	-5,136969E-2	-1,033934E-1
2,969122E-1	1,897517E-2	-7,275880E-1	2,338234E-1	-5,593074E-1	-4,325474E-1	-5,136969E-2	-1,035603E-1
2,970433E-1	1,904670E-2	-7,275403E-1	2,339426E-1	-5,592001E-1	-4,323328E-1	-5,136969E-2	-1,034172E-1
2,969837E-1	1,914207E-2	-7,273853E-1	2,341334E-1	-5,593074E-1	-4,322255E-1	-5,128624E-2	-1,034172E-1
2,969837E-1	1,914207E-2	-7,274211E-1	2,341811E-1	-5,594504E-1	-4,323328E-1	-5,117896E-2	-1,033219E-1
2,969837E-1	1,914207E-2	-7,275045E-1	2,340142E-1	-5,591286E-1	-4,323686E-1	-5,121472E-2	-1,033099E-1
2,969479E-1	1,910630E-2	-7,274926E-1	2,338354E-1	-5,592835E-1	-4,324401E-1	-5,129817E-2	-1,034291E-1
2,969360E-1	1,905862E-2	-7,274926E-1	2,340380E-1	-5,593431E-1	-4,324759E-1	-5,146506E-2	-1,034530E-1
2,970314E-1	1,896325E-2	-7,273853E-1	2,342764E-1	-5,592478E-1	-4,322732E-1	-5,152466E-2	-1,033934E-1
