channel names:							
012_-290_232_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	012_-290_232_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	012_-290_232_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	012_-290_232_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	012_-290_232_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	012_-290_232_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	012_-290_232_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	012_-290_232_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497
dt:							
0,020000							
data:							
3,064728E-1	2,002422E-2	-7,087052E-1	2,380673E-1	-3,993166E-1	-4,221523E-1	-4,893782E-2	-3,360826E-2
3,065204E-1	1,997653E-2	-7,087052E-1	2,378646E-1	-3,993762E-1	-4,222954E-1	-4,918816E-2	-3,369170E-2
3,064847E-1	1,986924E-2	-7,087648E-1	2,376500E-1	-3,993166E-1	-4,224384E-1	-4,921200E-2	-3,369170E-2
3,064251E-1	1,983348E-2	-7,088721E-1	2,375070E-1	-3,992332E-1	-4,224504E-1	-4,900935E-2	-3,366786E-2
3,064489E-1	1,989309E-2	-7,088125E-1	2,377097E-1	-3,992212E-1	-4,223431E-1	-4,915240E-2	-3,362018E-2
3,065920E-1	1,997653E-2	-7,087171E-1	2,381388E-1	-3,993166E-1	-4,222596E-1	-4,916432E-2	-3,362018E-2
3,066039E-1	1,990501E-2	-7,088125E-1	2,383772E-1	-3,991616E-1	-4,221047E-1	-4,889014E-2	-3,354865E-2
3,064370E-1	1,989309E-2	-7,088125E-1	2,380792E-1	-3,991735E-1	-4,222835E-1	-4,903319E-2	-3,362018E-2
3,064012E-1	1,989309E-2	-7,088721E-1	2,377812E-1	-3,988874E-1	-4,224504E-1	-4,921200E-2	-3,362018E-2
3,063655E-1	1,990501E-2	-7,088482E-1	2,378289E-1	-3,988278E-1	-4,224504E-1	-4,924777E-2	-3,365594E-2
