date,time,X,Y,F,Sensor R1,Sensor R2,Sensor R3,Sensor R4,Sensor R5,Sensor R6,Sensor R7,Sensor R8
2026-04-16,14:58:15.660,-120.0,120.0,10.141271548756357,2.3875,2.525875,2.503625,2.5225,2.689625,2.618625,2.5155,3.7695000000000003
2026-04-16,14:58:15.684,-120.0,120.0,10.133017239005087,2.3875,2.525875,2.503625,2.5225,2.689625,2.618625,2.5155,3.7695000000000003
2026-04-16,14:58:15.701,-120.0,120.0,10.12441379120407,2.3875,2.525875,2.503625,2.5225,2.689625,2.618625,2.5155,3.7695000000000003
2026-04-16,14:58:15.716,-120.0,120.0,10.117531032963257,2.3875,2.525875,2.503625,2.5225,2.689625,2.618625,2.5155,3.7695000000000003
2026-04-16,14:58:15.765,-120.0,120.0,10.112024826370606,2.3977500000000003,2.52125,2.508875,2.521375,2.694875,2.613125,2.50325,3.77
2026-04-16,14:58:15.781,-120.0,120.0,10.103619861096487,2.3977500000000003,2.52125,2.508875,2.521375,2.694875,2.613125,2.50325,3.77
2026-04-16,14:58:15.797,-120.0,120.0,10.090895888877188,2.3977500000000003,2.52125,2.508875,2.521375,2.694875,2.613125,2.50325,3.77
2026-04-16,14:58:15.812,-120.0,120.0,10.076716711101751,2.3977500000000003,2.52125,2.508875,2.521375,2.694875,2.613125,2.50325,3.77
2026-04-16,14:58:15.845,-120.0,120.0,10.061373368881402,2.3977500000000003,2.52125,2.508875,2.521375,2.694875,2.613125,2.50325,3.77
2026-04-16,14:58:15.872,-120.0,120.0,10.04709869510512,2.39125,2.527375,2.50125,2.524625,2.68025,2.62,2.48375,3.77
2026-04-16,14:58:15.876,-120.0,120.0,10.035678956084098,2.39125,2.527375,2.50125,2.524625,2.68025,2.62,2.48375,3.77
2026-04-16,14:58:15.892,-120.0,120.0,10.026543164867277,2.39125,2.527375,2.50125,2.524625,2.68025,2.62,2.48375,3.77
2026-04-16,14:58:15.924,-120.0,120.0,10.021234531893823,2.39125,2.527375,2.50125,2.524625,2.68025,2.62,2.48375,3.77
2026-04-16,14:58:15.941,-120.0,120.0,10.01898762551506,2.39125,2.527375,2.50125,2.524625,2.68025,2.62,2.48375,3.77
2026-04-16,14:58:15.963,-120.0,120.0,10.019190100412047,2.39125,2.527375,2.50125,2.524625,2.68025,2.62,2.48375,3.77
2026-04-16,14:58:15.974,-120.0,120.0,10.023352080329637,2.39275,2.52375,2.50975,2.51925,2.697,2.61325,2.49625,3.77
2026-04-16,14:58:16.004,-120.0,120.0,10.02868166426371,2.39275,2.52375,2.50975,2.51925,2.697,2.61325,2.49625,3.77
2026-04-16,14:58:16.020,-120.0,120.0,10.038945331410968,2.39275,2.52375,2.50975,2.51925,2.697,2.61325,2.49625,3.77
