channel names:							
025_-174_174_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	025_-174_174_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	025_-174_174_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	025_-174_174_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	025_-174_174_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	025_-174_174_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	025_-174_174_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	025_-174_174_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752
dt:							
0,020000							
data:							
2,961254E-1	2,788011E-2	-7,257044E-1	2,325598E-1	-5,311382E-1	-4,340256E-1	-5,101206E-2	-9,891111E-2
2,961492E-1	2,803508E-2	-7,256925E-1	2,326194E-1	-5,310786E-1	-4,340971E-1	-5,086901E-2	-9,889919E-2
2,962208E-1	2,809469E-2	-7,256687E-1	2,327625E-1	-5,308402E-1	-4,339898E-1	-5,101206E-2	-9,876806E-2
2,961731E-1	2,809469E-2	-7,257760E-1	2,328459E-1	-5,310786E-1	-4,339421E-1	-5,104783E-2	-9,882766E-2
2,962804E-1	2,804700E-2	-7,258475E-1	2,328578E-1	-5,310190E-1	-4,339779E-1	-5,100014E-2	-9,891111E-2
2,962327E-1	2,797548E-2	-7,258237E-1	2,327744E-1	-5,312932E-1	-4,339302E-1	-5,113127E-2	-9,897071E-2
2,962208E-1	2,815429E-2	-7,257521E-1	2,326790E-1	-5,313528E-1	-4,340852E-1	-5,110743E-2	-9,898263E-2
2,962804E-1	2,819005E-2	-7,255972E-1	2,327386E-1	-5,312574E-1	-4,340017E-1	-5,120280E-2	-9,894687E-2
2,961492E-1	2,811853E-2	-7,256448E-1	2,327505E-1	-5,311740E-1	-4,340375E-1	-5,125048E-2	-9,899455E-2
2,961969E-1	2,820197E-2	-7,256687E-1	2,326671E-1	-5,312932E-1	-4,340852E-1	-5,123856E-2	-9,905416E-2
2,961731E-1	2,817813E-2	-7,256568E-1	2,325598E-1	-5,311859E-1	-4,341329E-1	-5,123856E-2	-9,908992E-2
2,961492E-1	2,815429E-2	-7,256210E-1	2,323333E-1	-5,310309E-1	-4,340733E-1	-5,122664E-2	-9,904224E-2
2,962088E-1	2,807084E-2	-7,255733E-1	2,325837E-1	-5,310429E-1	-4,339898E-1	-5,126240E-2	-9,899455E-2
2,961492E-1	2,814237E-2	-7,256687E-1	2,326433E-1	-5,313528E-1	-4,340137E-1	-5,116704E-2	-9,906608E-2
2,962208E-1	2,823774E-2	-7,256687E-1	2,324764E-1	-5,312694E-1	-4,340017E-1	-5,117896E-2	-9,905416E-2
2,962804E-1	2,808276E-2	-7,256687E-1	2,324406E-1	-5,311740E-1	-4,340256E-1	-5,121472E-2	-9,906608E-2
2,961373E-1	2,807084E-2	-7,256806E-1	2,324048E-1	-5,312813E-1	-4,340852E-1	-5,127432E-2	-9,908992E-2
2,961731E-1	2,804700E-2	-7,256210E-1	2,324764E-1	-5,312455E-1	-4,340494E-1	-5,139353E-2	-9,918529E-2
2,961850E-1	2,804700E-2	-7,256448E-1	2,326433E-1	-5,311502E-1	-4,339779E-1	-5,119088E-2	-9,912568E-2
2,963042E-1	2,801124E-2	-7,257402E-1	2,329055E-1	-5,311382E-1	-4,339183E-1	-5,097630E-2	-9,899455E-2
2,963042E-1	2,808276E-2	-7,256329E-1	2,329413E-1	-5,312932E-1	-4,338587E-1	-5,121472E-2	-9,899455E-2
2,962565E-1	2,799932E-2	-7,255972E-1	2,327744E-1	-5,312932E-1	-4,338825E-1	-5,108359E-2	-9,904224E-2
2,961492E-1	2,795163E-2	-7,257283E-1	2,326075E-1	-5,312574E-1	-4,340375E-1	-5,134585E-2	-9,903032E-2
2,961850E-1	2,795163E-2	-7,257760E-1	2,326075E-1	-5,313409E-1	-4,340852E-1	-5,109551E-2	-9,911376E-2
